x	 f(x)
-5.00 	 -3.00
-4.90 	 -2.90
-4.80 	 -2.80
-4.70 	 -2.70
-4.60 	 -2.60
-4.50 	 -2.50
-4.40 	 -2.40
-4.30 	 -2.30
-4.20 	 -2.20
-4.10 	 -2.10
-4.00 	 -2.00
-3.90 	 -1.90
-3.80 	 -1.80
-3.70 	 -1.70
-3.60 	 -1.60
-3.50 	 -1.50
-3.40 	 -1.40
-3.30 	 -1.30
-3.20 	 -1.20
-3.10 	 -1.10
-3.00 	 -1.00
-2.90 	 -0.90
-2.80 	 -0.80
-2.70 	 -0.70
-2.60 	 -0.60
-2.50 	 -0.50
-2.40 	 -0.40
-2.30 	 -0.30
-2.20 	 -0.20
-2.10 	 -0.10
-2.00 	 -0.00
-1.90 	 0.10
-1.80 	 0.20
-1.70 	 0.30
-1.60 	 0.40
-1.50 	 0.50
-1.40 	 0.60
-1.30 	 0.70
-1.20 	 0.80
-1.10 	 0.90
-1.00 	 1.00
-0.90 	 1.10
-0.80 	 1.20
-0.70 	 1.30
-0.60 	 1.40
-0.50 	 1.50
-0.40 	 1.60
-0.30 	 1.70
-0.20 	 1.80
-0.10 	 1.90
-0.00 	 2.00
0.10 	 2.10
0.20 	 2.20
0.30 	 2.30
0.40 	 2.40
0.50 	 2.50
0.60 	 2.60
0.70 	 2.70
0.80 	 2.80
0.90 	 2.90
1.00 	 3.00
1.10 	 3.10
1.20 	 3.20
1.30 	 3.30
1.40 	 3.40
1.50 	 3.50
1.60 	 3.60
1.70 	 3.70
1.80 	 3.80
1.90 	 3.90
2.00 	 4.00
2.10 	 4.10
2.20 	 4.20
2.30 	 4.30
2.40 	 4.40
2.50 	 4.50
2.60 	 4.60
2.70 	 4.70
2.80 	 4.80
2.90 	 4.90
3.00 	 5.00
3.10 	 5.10
3.20 	 5.20
3.30 	 5.30
3.40 	 5.40
3.50 	 5.50
3.60 	 5.60
3.70 	 5.70
3.80 	 5.80
3.90 	 5.90
4.00 	 6.00
4.10 	 6.10
4.20 	 6.20
4.30 	 6.30
4.40 	 6.40
4.50 	 6.50
4.60 	 6.60
4.70 	 6.70
4.80 	 6.80
4.90 	 6.90
5.00 	 7.00
