x	 f(x)
-5.00 	 0.28
-4.90 	 0.19
-4.80 	 0.09
-4.70 	 -0.01
-4.60 	 -0.11
-4.50 	 -0.21
-4.40 	 -0.31
-4.30 	 -0.40
-4.20 	 -0.49
-4.10 	 -0.57
-4.00 	 -0.65
-3.90 	 -0.73
-3.80 	 -0.79
-3.70 	 -0.85
-3.60 	 -0.90
-3.50 	 -0.94
-3.40 	 -0.97
-3.30 	 -0.99
-3.20 	 -1.00
-3.10 	 -1.00
-3.00 	 -0.99
-2.90 	 -0.97
-2.80 	 -0.94
-2.70 	 -0.90
-2.60 	 -0.86
-2.50 	 -0.80
-2.40 	 -0.74
-2.30 	 -0.67
-2.20 	 -0.59
-2.10 	 -0.50
-2.00 	 -0.42
-1.90 	 -0.32
-1.80 	 -0.23
-1.70 	 -0.13
-1.60 	 -0.03
-1.50 	 0.07
-1.40 	 0.17
-1.30 	 0.27
-1.20 	 0.36
-1.10 	 0.45
-1.00 	 0.54
-0.90 	 0.62
-0.80 	 0.70
-0.70 	 0.76
-0.60 	 0.83
-0.50 	 0.88
-0.40 	 0.92
-0.30 	 0.96
-0.20 	 0.98
-0.10 	 1.00
-0.00 	 1.00
0.10 	 1.00
0.20 	 0.98
0.30 	 0.96
0.40 	 0.92
0.50 	 0.88
0.60 	 0.83
0.70 	 0.76
0.80 	 0.70
0.90 	 0.62
1.00 	 0.54
1.10 	 0.45
1.20 	 0.36
1.30 	 0.27
1.40 	 0.17
1.50 	 0.07
1.60 	 -0.03
1.70 	 -0.13
1.80 	 -0.23
1.90 	 -0.32
2.00 	 -0.42
2.10 	 -0.50
2.20 	 -0.59
2.30 	 -0.67
2.40 	 -0.74
2.50 	 -0.80
2.60 	 -0.86
2.70 	 -0.90
2.80 	 -0.94
2.90 	 -0.97
3.00 	 -0.99
3.10 	 -1.00
3.20 	 -1.00
3.30 	 -0.99
3.40 	 -0.97
3.50 	 -0.94
3.60 	 -0.90
3.70 	 -0.85
3.80 	 -0.79
3.90 	 -0.73
4.00 	 -0.65
4.10 	 -0.57
4.20 	 -0.49
4.30 	 -0.40
4.40 	 -0.31
4.50 	 -0.21
4.60 	 -0.11
4.70 	 -0.01
4.80 	 0.09
4.90 	 0.19
5.00 	 0.28
