x	 f(x)
-5.00 	 0.00
-4.90 	 0.00
-4.80 	 0.00
-4.70 	 0.00
-4.60 	 0.00
-4.50 	 0.00
-4.40 	 0.00
-4.30 	 0.00
-4.20 	 0.00
-4.10 	 0.00
-4.00 	 0.00
-3.90 	 0.00
-3.80 	 0.00
-3.70 	 0.00
-3.60 	 0.00
-3.50 	 0.00
-3.40 	 0.00
-3.30 	 0.00
-3.20 	 0.01
-3.10 	 0.01
-3.00 	 0.01
-2.90 	 0.01
-2.80 	 0.02
-2.70 	 0.03
-2.60 	 0.03
-2.50 	 0.04
-2.40 	 0.06
-2.30 	 0.07
-2.20 	 0.09
-2.10 	 0.11
-2.00 	 0.14
-1.90 	 0.16
-1.80 	 0.20
-1.70 	 0.24
-1.60 	 0.28
-1.50 	 0.32
-1.40 	 0.38
-1.30 	 0.43
-1.20 	 0.49
-1.10 	 0.55
-1.00 	 0.61
-0.90 	 0.67
-0.80 	 0.73
-0.70 	 0.78
-0.60 	 0.84
-0.50 	 0.88
-0.40 	 0.92
-0.30 	 0.96
-0.20 	 0.98
-0.10 	 1.00
-0.00 	 1.00
0.10 	 1.00
0.20 	 0.98
0.30 	 0.96
0.40 	 0.92
0.50 	 0.88
0.60 	 0.84
0.70 	 0.78
0.80 	 0.73
0.90 	 0.67
1.00 	 0.61
1.10 	 0.55
1.20 	 0.49
1.30 	 0.43
1.40 	 0.38
1.50 	 0.32
1.60 	 0.28
1.70 	 0.24
1.80 	 0.20
1.90 	 0.16
2.00 	 0.14
2.10 	 0.11
2.20 	 0.09
2.30 	 0.07
2.40 	 0.06
2.50 	 0.04
2.60 	 0.03
2.70 	 0.03
2.80 	 0.02
2.90 	 0.01
3.00 	 0.01
3.10 	 0.01
3.20 	 0.01
3.30 	 0.00
3.40 	 0.00
3.50 	 0.00
3.60 	 0.00
3.70 	 0.00
3.80 	 0.00
3.90 	 0.00
4.00 	 0.00
4.10 	 0.00
4.20 	 0.00
4.30 	 0.00
4.40 	 0.00
4.50 	 0.00
4.60 	 0.00
4.70 	 0.00
4.80 	 0.00
4.90 	 0.00
5.00 	 0.00
