x	 f(x)
-5.00 	 -25.00
-4.90 	 -24.01
-4.80 	 -23.04
-4.70 	 -22.09
-4.60 	 -21.16
-4.50 	 -20.25
-4.40 	 -19.36
-4.30 	 -18.49
-4.20 	 -17.64
-4.10 	 -16.81
-4.00 	 -16.00
-3.90 	 -15.21
-3.80 	 -14.44
-3.70 	 -13.69
-3.60 	 -12.96
-3.50 	 -12.25
-3.40 	 -11.56
-3.30 	 -10.89
-3.20 	 -10.24
-3.10 	 -9.61
-3.00 	 -9.00
-2.90 	 -8.41
-2.80 	 -7.84
-2.70 	 -7.29
-2.60 	 -6.76
-2.50 	 -6.25
-2.40 	 -5.76
-2.30 	 -5.29
-2.20 	 -4.84
-2.10 	 -4.41
-2.00 	 -4.00
-1.90 	 -3.61
-1.80 	 -3.24
-1.70 	 -2.89
-1.60 	 -2.56
-1.50 	 -2.25
-1.40 	 -1.96
-1.30 	 -1.69
-1.20 	 -1.44
-1.10 	 -1.21
-1.00 	 -1.00
-0.90 	 -0.81
-0.80 	 -0.64
-0.70 	 -0.49
-0.60 	 -0.36
-0.50 	 -0.25
-0.40 	 -0.16
-0.30 	 -0.09
-0.20 	 -0.04
-0.10 	 -0.01
-0.00 	 -0.00
0.10 	 -0.01
0.20 	 -0.04
0.30 	 -0.09
0.40 	 -0.16
0.50 	 -0.25
0.60 	 -0.36
0.70 	 -0.49
0.80 	 -0.64
0.90 	 -0.81
1.00 	 -1.00
1.10 	 -1.21
1.20 	 -1.44
1.30 	 -1.69
1.40 	 -1.96
1.50 	 -2.25
1.60 	 -2.56
1.70 	 -2.89
1.80 	 -3.24
1.90 	 -3.61
2.00 	 -4.00
2.10 	 -4.41
2.20 	 -4.84
2.30 	 -5.29
2.40 	 -5.76
2.50 	 -6.25
2.60 	 -6.76
2.70 	 -7.29
2.80 	 -7.84
2.90 	 -8.41
3.00 	 -9.00
3.10 	 -9.61
3.20 	 -10.24
3.30 	 -10.89
3.40 	 -11.56
3.50 	 -12.25
3.60 	 -12.96
3.70 	 -13.69
3.80 	 -14.44
3.90 	 -15.21
4.00 	 -16.00
4.10 	 -16.81
4.20 	 -17.64
4.30 	 -18.49
4.40 	 -19.36
4.50 	 -20.25
4.60 	 -21.16
4.70 	 -22.09
4.80 	 -23.04
4.90 	 -24.01
5.00 	 -25.00
