x	 f(x)
-5.00 	 0.96
-4.90 	 0.98
-4.80 	 1.00
-4.70 	 1.00
-4.60 	 0.99
-4.50 	 0.98
-4.40 	 0.95
-4.30 	 0.92
-4.20 	 0.87
-4.10 	 0.82
-4.00 	 0.76
-3.90 	 0.69
-3.80 	 0.61
-3.70 	 0.53
-3.60 	 0.44
-3.50 	 0.35
-3.40 	 0.26
-3.30 	 0.16
-3.20 	 0.06
-3.10 	 -0.04
-3.00 	 -0.14
-2.90 	 -0.24
-2.80 	 -0.33
-2.70 	 -0.43
-2.60 	 -0.52
-2.50 	 -0.60
-2.40 	 -0.68
-2.30 	 -0.75
-2.20 	 -0.81
-2.10 	 -0.86
-2.00 	 -0.91
-1.90 	 -0.95
-1.80 	 -0.97
-1.70 	 -0.99
-1.60 	 -1.00
-1.50 	 -1.00
-1.40 	 -0.99
-1.30 	 -0.96
-1.20 	 -0.93
-1.10 	 -0.89
-1.00 	 -0.84
-0.90 	 -0.78
-0.80 	 -0.72
-0.70 	 -0.64
-0.60 	 -0.56
-0.50 	 -0.48
-0.40 	 -0.39
-0.30 	 -0.30
-0.20 	 -0.20
-0.10 	 -0.10
-0.00 	 -0.00
0.10 	 0.10
0.20 	 0.20
0.30 	 0.30
0.40 	 0.39
0.50 	 0.48
0.60 	 0.56
0.70 	 0.64
0.80 	 0.72
0.90 	 0.78
1.00 	 0.84
1.10 	 0.89
1.20 	 0.93
1.30 	 0.96
1.40 	 0.99
1.50 	 1.00
1.60 	 1.00
1.70 	 0.99
1.80 	 0.97
1.90 	 0.95
2.00 	 0.91
2.10 	 0.86
2.20 	 0.81
2.30 	 0.75
2.40 	 0.68
2.50 	 0.60
2.60 	 0.52
2.70 	 0.43
2.80 	 0.33
2.90 	 0.24
3.00 	 0.14
3.10 	 0.04
3.20 	 -0.06
3.30 	 -0.16
3.40 	 -0.26
3.50 	 -0.35
3.60 	 -0.44
3.70 	 -0.53
3.80 	 -0.61
3.90 	 -0.69
4.00 	 -0.76
4.10 	 -0.82
4.20 	 -0.87
4.30 	 -0.92
4.40 	 -0.95
4.50 	 -0.98
4.60 	 -0.99
4.70 	 -1.00
4.80 	 -1.00
4.90 	 -0.98
5.00 	 -0.96
