x	 f(x)
-5.00 	 0.85
-4.90 	 0.56
-4.80 	 0.26
-4.70 	 -0.04
-4.60 	 -0.34
-4.50 	 -0.63
-4.40 	 -0.92
-4.30 	 -1.20
-4.20 	 -1.47
-4.10 	 -1.72
-4.00 	 -1.96
-3.90 	 -2.18
-3.80 	 -2.37
-3.70 	 -2.54
-3.60 	 -2.69
-3.50 	 -2.81
-3.40 	 -2.90
-3.30 	 -2.96
-3.20 	 -2.99
-3.10 	 -3.00
-3.00 	 -2.97
-2.90 	 -2.91
-2.80 	 -2.83
-2.70 	 -2.71
-2.60 	 -2.57
-2.50 	 -2.40
-2.40 	 -2.21
-2.30 	 -2.00
-2.20 	 -1.77
-2.10 	 -1.51
-2.00 	 -1.25
-1.90 	 -0.97
-1.80 	 -0.68
-1.70 	 -0.39
-1.60 	 -0.09
-1.50 	 0.21
-1.40 	 0.51
-1.30 	 0.80
-1.20 	 1.09
-1.10 	 1.36
-1.00 	 1.62
-0.90 	 1.86
-0.80 	 2.09
-0.70 	 2.29
-0.60 	 2.48
-0.50 	 2.63
-0.40 	 2.76
-0.30 	 2.87
-0.20 	 2.94
-0.10 	 2.99
-0.00 	 3.00
0.10 	 2.99
0.20 	 2.94
0.30 	 2.87
0.40 	 2.76
0.50 	 2.63
0.60 	 2.48
0.70 	 2.29
0.80 	 2.09
0.90 	 1.86
1.00 	 1.62
1.10 	 1.36
1.20 	 1.09
1.30 	 0.80
1.40 	 0.51
1.50 	 0.21
1.60 	 -0.09
1.70 	 -0.39
1.80 	 -0.68
1.90 	 -0.97
2.00 	 -1.25
2.10 	 -1.51
2.20 	 -1.77
2.30 	 -2.00
2.40 	 -2.21
2.50 	 -2.40
2.60 	 -2.57
2.70 	 -2.71
2.80 	 -2.83
2.90 	 -2.91
3.00 	 -2.97
3.10 	 -3.00
3.20 	 -2.99
3.30 	 -2.96
3.40 	 -2.90
3.50 	 -2.81
3.60 	 -2.69
3.70 	 -2.54
3.80 	 -2.37
3.90 	 -2.18
4.00 	 -1.96
4.10 	 -1.72
4.20 	 -1.47
4.30 	 -1.20
4.40 	 -0.92
4.50 	 -0.63
4.60 	 -0.34
4.70 	 -0.04
4.80 	 0.26
4.90 	 0.56
5.00 	 0.85
