x	 f(x)
-5.00 	 0.01
-4.90 	 0.01
-4.80 	 0.01
-4.70 	 0.01
-4.60 	 0.01
-4.50 	 0.01
-4.40 	 0.01
-4.30 	 0.01
-4.20 	 0.01
-4.10 	 0.02
-4.00 	 0.02
-3.90 	 0.02
-3.80 	 0.02
-3.70 	 0.02
-3.60 	 0.03
-3.50 	 0.03
-3.40 	 0.03
-3.30 	 0.04
-3.20 	 0.04
-3.10 	 0.04
-3.00 	 0.05
-2.90 	 0.05
-2.80 	 0.06
-2.70 	 0.06
-2.60 	 0.07
-2.50 	 0.08
-2.40 	 0.08
-2.30 	 0.09
-2.20 	 0.10
-2.10 	 0.11
-2.00 	 0.12
-1.90 	 0.13
-1.80 	 0.14
-1.70 	 0.15
-1.60 	 0.17
-1.50 	 0.18
-1.40 	 0.20
-1.30 	 0.21
-1.20 	 0.23
-1.10 	 0.25
-1.00 	 0.27
-0.90 	 0.29
-0.80 	 0.31
-0.70 	 0.33
-0.60 	 0.35
-0.50 	 0.38
-0.40 	 0.40
-0.30 	 0.43
-0.20 	 0.45
-0.10 	 0.48
-0.00 	 0.50
0.10 	 0.52
0.20 	 0.55
0.30 	 0.57
0.40 	 0.60
0.50 	 0.62
0.60 	 0.65
0.70 	 0.67
0.80 	 0.69
0.90 	 0.71
1.00 	 0.73
1.10 	 0.75
1.20 	 0.77
1.30 	 0.79
1.40 	 0.80
1.50 	 0.82
1.60 	 0.83
1.70 	 0.85
1.80 	 0.86
1.90 	 0.87
2.00 	 0.88
2.10 	 0.89
2.20 	 0.90
2.30 	 0.91
2.40 	 0.92
2.50 	 0.92
2.60 	 0.93
2.70 	 0.94
2.80 	 0.94
2.90 	 0.95
3.00 	 0.95
3.10 	 0.96
3.20 	 0.96
3.30 	 0.96
3.40 	 0.97
3.50 	 0.97
3.60 	 0.97
3.70 	 0.98
3.80 	 0.98
3.90 	 0.98
4.00 	 0.98
4.10 	 0.98
4.20 	 0.99
4.30 	 0.99
4.40 	 0.99
4.50 	 0.99
4.60 	 0.99
4.70 	 0.99
4.80 	 0.99
4.90 	 0.99
5.00 	 0.99
