x	 f(x)
-5.00 	 3.38
-4.90 	 5.27
-4.80 	 11.38
-4.70 	 -80.71
-4.60 	 -8.86
-4.50 	 -4.64
-4.40 	 -3.10
-4.30 	 -2.29
-4.20 	 -1.78
-4.10 	 -1.42
-4.00 	 -1.16
-3.90 	 -0.95
-3.80 	 -0.77
-3.70 	 -0.62
-3.60 	 -0.49
-3.50 	 -0.37
-3.40 	 -0.26
-3.30 	 -0.16
-3.20 	 -0.06
-3.10 	 0.04
-3.00 	 0.14
-2.90 	 0.25
-2.80 	 0.36
-2.70 	 0.47
-2.60 	 0.60
-2.50 	 0.75
-2.40 	 0.92
-2.30 	 1.12
-2.20 	 1.37
-2.10 	 1.71
-2.00 	 2.19
-1.90 	 2.93
-1.80 	 4.29
-1.70 	 7.70
-1.60 	 34.23
-1.50 	 -14.10
-1.40 	 -5.80
-1.30 	 -3.60
-1.20 	 -2.57
-1.10 	 -1.96
-1.00 	 -1.56
-0.90 	 -1.26
-0.80 	 -1.03
-0.70 	 -0.84
-0.60 	 -0.68
-0.50 	 -0.55
-0.40 	 -0.42
-0.30 	 -0.31
-0.20 	 -0.20
-0.10 	 -0.10
-0.00 	 -0.00
0.10 	 0.10
0.20 	 0.20
0.30 	 0.31
0.40 	 0.42
0.50 	 0.55
0.60 	 0.68
0.70 	 0.84
0.80 	 1.03
0.90 	 1.26
1.00 	 1.56
1.10 	 1.96
1.20 	 2.57
1.30 	 3.60
1.40 	 5.80
1.50 	 14.10
1.60 	 -34.23
1.70 	 -7.70
1.80 	 -4.29
1.90 	 -2.93
2.00 	 -2.19
2.10 	 -1.71
2.20 	 -1.37
2.30 	 -1.12
2.40 	 -0.92
2.50 	 -0.75
2.60 	 -0.60
2.70 	 -0.47
2.80 	 -0.36
2.90 	 -0.25
3.00 	 -0.14
3.10 	 -0.04
3.20 	 0.06
3.30 	 0.16
3.40 	 0.26
3.50 	 0.37
3.60 	 0.49
3.70 	 0.62
3.80 	 0.77
3.90 	 0.95
4.00 	 1.16
4.10 	 1.42
4.20 	 1.78
4.30 	 2.29
4.40 	 3.10
4.50 	 4.64
4.60 	 8.86
4.70 	 80.71
4.80 	 -11.38
4.90 	 -5.27
5.00 	 -3.38
