x	 f(x)
-5.00 	 -125.00
-4.90 	 -117.65
-4.80 	 -110.59
-4.70 	 -103.82
-4.60 	 -97.34
-4.50 	 -91.13
-4.40 	 -85.18
-4.30 	 -79.51
-4.20 	 -74.09
-4.10 	 -68.92
-4.00 	 -64.00
-3.90 	 -59.32
-3.80 	 -54.87
-3.70 	 -50.65
-3.60 	 -46.66
-3.50 	 -42.88
-3.40 	 -39.30
-3.30 	 -35.94
-3.20 	 -32.77
-3.10 	 -29.79
-3.00 	 -27.00
-2.90 	 -24.39
-2.80 	 -21.95
-2.70 	 -19.68
-2.60 	 -17.58
-2.50 	 -15.63
-2.40 	 -13.82
-2.30 	 -12.17
-2.20 	 -10.65
-2.10 	 -9.26
-2.00 	 -8.00
-1.90 	 -6.86
-1.80 	 -5.83
-1.70 	 -4.91
-1.60 	 -4.10
-1.50 	 -3.38
-1.40 	 -2.74
-1.30 	 -2.20
-1.20 	 -1.73
-1.10 	 -1.33
-1.00 	 -1.00
-0.90 	 -0.73
-0.80 	 -0.51
-0.70 	 -0.34
-0.60 	 -0.22
-0.50 	 -0.13
-0.40 	 -0.06
-0.30 	 -0.03
-0.20 	 -0.01
-0.10 	 -0.00
-0.00 	 -0.00
0.10 	 0.00
0.20 	 0.01
0.30 	 0.03
0.40 	 0.06
0.50 	 0.12
0.60 	 0.22
0.70 	 0.34
0.80 	 0.51
0.90 	 0.73
1.00 	 1.00
1.10 	 1.33
1.20 	 1.73
1.30 	 2.20
1.40 	 2.74
1.50 	 3.37
1.60 	 4.10
1.70 	 4.91
1.80 	 5.83
1.90 	 6.86
2.00 	 8.00
2.10 	 9.26
2.20 	 10.65
2.30 	 12.17
2.40 	 13.82
2.50 	 15.62
2.60 	 17.58
2.70 	 19.68
2.80 	 21.95
2.90 	 24.39
3.00 	 27.00
3.10 	 29.79
3.20 	 32.77
3.30 	 35.94
3.40 	 39.30
3.50 	 42.88
3.60 	 46.66
3.70 	 50.65
3.80 	 54.87
3.90 	 59.32
4.00 	 64.00
4.10 	 68.92
4.20 	 74.09
4.30 	 79.51
4.40 	 85.18
4.50 	 91.12
4.60 	 97.34
4.70 	 103.82
4.80 	 110.59
4.90 	 117.65
5.00 	 125.00
